127.0.0.1, 2016-02-08 17:38:52, GET, /, HTTP/1.1, 200, 5.109000
127.0.0.1, 2016-02-08 17:38:52, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-08 17:38:52, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-08 17:38:52, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-08 17:38:52, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-08 17:38:52, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 200, 0.008000

127.0.0.1, 2016-02-08 17:38:52, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-02-08 17:38:52, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-02-08 17:38:52, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-02-08 17:38:52, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-08 17:38:52, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-08 17:38:52, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-08 17:39:08, GET, /populate_db, HTTP/1.1, 200, 0.317000
127.0.0.1, 2016-02-08 17:39:08, GET, /favicon.ico, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-02-08 17:39:27, GET, /populate_db, HTTP/1.1, 500, 0.150000
127.0.0.1, 2016-02-08 17:39:30, GET, /admin/default/ticket/MoodlePlus/127.0.0.1.2016-02-08.17-39-26.49ce390b-39a7-4331-aad9-3396c87131cd, HTTP/1.1, 303, 0.130000
127.0.0.1, 2016-02-08 17:39:31, GET, /admin, HTTP/1.1, 200, 0.045000
127.0.0.1, 2016-02-08 17:39:31, GET, /admin/static/_2.10.3/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-08 17:39:31, GET, /admin/static/_2.10.3/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-08 17:39:31, GET, /admin/static/_2.10.3/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-08 17:39:31, GET, /admin/static/_2.10.3/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-08 17:39:31, GET, /admin/static/_2.10.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-08 17:39:31, GET, /admin/static/_2.10.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-08 17:39:31, GET, /admin/static/_2.10.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-08 17:39:31, GET, /admin/static/_2.10.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-08 17:39:31, GET, /admin/static/_2.10.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-08 17:39:31, GET, /admin/static/_2.10.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-08 17:39:31, GET, /admin/static/_2.10.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-08 17:39:31, GET, /admin/static/_2.10.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004000
